Country,Patri2016,IFL2016,AOM2015,BPD2017C,Polygy2016,PSOW2014,HnrKlg2016,PRCom16,CsnMrg2016,SonPref2015,RapeXmp2016,SyndromeStatus,SyndromeImp
Afghanistan,2,4,3,2,3,4,2,4,3,2,1,1,15
Albania,2,2,3,0,0,3,2,1,0,4,0,1,9
Algeria,2,3,0,2,3,4,2,2,3,2,1,1,12
Angola,2,3,3,2,3,3,1,1,1,2,1,1,11
Argentina,0,2,3,0,0,3,1,1,0,1,0,0,4
Armenia,2,2,0,1,0,4,2,1,0,4,0,1,8
Australia,0,0,0,0,0,2,1,0,2,1,0,0,0
Austria,0,1,1,0,0,1,1,0,0,1,0,0,1
Azerbaijan,2,2,2,0,0,3,1,1,3,4,0,1,8
Bahamas,0,1,1,0,1,3,1,0,0,0,0,0,2
Bahrain,0,3,3,2,3,4,1,4,3,2,1,1,11
Bangladesh,2,4,3,3,3,4,2,4,3,2,0,1,14
Barbados,0,1,0,0,1,3,1,0,2,1,0,0,2
Belarus,1,1,2,0,0,4,1,1,0,2,0,0,4
Belgium,0,1,0,0,0,2,1,1,2,1,0,0,1
Belize,1,2,2,0,2,3,2,1,0,1,1,1,6
Benin,2,4,3,2,4,3,2,3,1,2,0,1,13
Bhutan,2,2,3,0,3,3,1,1,1,2,0,1,8
Bolivia,0,2,4,0,0,3,2,1,0,2,0,1,6
Bosnia-Herzegovina,2,1,1,0,0,3,1,1,0,2,1,1,6
Botswana,2,3,2,2,2,4,2,3,3,2,0,1,11
Brazil,0,2,3,0,0,3,1,1,0,2,1,1,6
Brunei,0,3,3,2,2,4,2,3,2,2,0,1,9
Bulgaria,1,1,2,0,0,2,0,1,0,2,1,0,4
Burkina Faso,2,3,3,2,4,4,2,2,3,2,0,1,12
Burma/Myanmar,0,3,2,2,1,4,2,2,1,2,0,1,7
Burundi,2,3,2,2,3,4,2,2,0,2,0,1,10
Cambodia,1,2,2,2,2,4,1,1,1,2,1,1,7
Cameroon,2,4,4,2,4,4,2,2,1,2,1,1,13
Canada,0,1,2,0,0,2,1,1,2,1,0,0,1
Cape Verde,0,1,1,0,1,3,1,2,1,2,0,0,3
Central African Rep,2,4,3,2,4,4,2,2,3,2,1,1,14
Chad,2,4,4,2,4,4,1,3,3,2,1,1,14
Chile,0,2,1,0,0,3,1,2,0,2,0,0,4
China,2,2,0,2,0,4,2,1,0,4,0,1,9
Colombia,0,2,2,0,0,4,2,1,0,2,0,0,5
Comoros,0,3,1,0,3,3,0,1,3,2,0,1,7
Congo,1,4,3,2,3,4,1,1,2,2,1,1,11
Costa Rica,0,2,1,0,0,3,1,1,0,2,0,0,4
Cote D'Ivoire,2,4,3,2,4,4,2,2,1,2,1,1,13
Croatia,2,1,1,0,0,3,1,1,0,2,0,0,5
Cuba,0,1,2,0,0,3,2,0,0,2,0,0,4
Cyprus,0,1,1,0,0,2,1,1,0,2,0,0,2
Czech Republic,0,0,0,0,0,3,1,0,0,1,0,0,1
D R Congo,1,3,3,2,3,4,2,3,1,2,0,1,11
Denmark,0,0,0,0,0,1,1,1,0,1,1,0,1
Djibouti,2,3,2,2,3,4,1,3,3,2,0,1,11
Dominican Republic,0,2,4,0,0,3,2,1,1,1,0,0,5
East Timor,2,3,2,2,3,4,2,2,3,3,0,1,12
Ecuador,1,2,2,0,0,3,2,2,0,2,1,1,7
Egypt,1,3,1,2,3,4,2,3,3,4,0,1,12
El Salvador,0,2,3,0,0,4,2,1,1,2,0,1,6
Equatorial Guinea,2,4,4,2,3,3,1,2,1,2,1,1,12
